ID,Country,Name,Type,Electric_capacity,Thermal capacity,zone_el,Latitude,Longitude,demand_price
Electric boiler18FI,FI,Name364,Electric boiler,0,25,FI,0,0,15.72117557
Electric boiler19FI,FI,Name365,Electric boiler,0,100,FI,0,0,17.01195032
Electric boiler20FI,FI,Name366,Electric boiler,0,3,FI,0,0,16.79435724
Electric boiler21FI,FI,Name367,Electric boiler,0,30,FI,0,0,9.485140824
Electric boiler22FI,FI,Name368,Electric boiler,0,50,FI,0,0,13.64255356
Electric boiler23FI,FI,Name369,Electric boiler,0,20,FI,0,0,19.01499456
Electric boiler24FI,FI,Name370,Electric boiler,0,60,FI,0,0,13.66849094
Electric boiler25FI,FI,Name371,Electric boiler,0,50,FI,0,0,9.23716624
Electric boiler26FI,FI,Name372,Electric boiler,0,10,FI,0,0,10.70982315
Electric boiler27FI,FI,Name373,Electric boiler,0,60,FI,0,0,13.5571872
Electric boiler28FI,FI,Name374,Electric boiler,0,70,FI,0,0,12.92183451
Electric boiler29FI,FI,Name375,Electric boiler,0,70,FI,0,0,16.93068108
Electric boiler30FI,FI,Name376,Electric boiler,0,2,FI,0,0,11.28538296
Electric boiler31FI,FI,Name377,Electric boiler,0,20,FI,0,0,17.78302027
Electric boiler32FI,FI,Name378,Electric boiler,0,7,FI,0,0,10.97741738
Electric boiler33FI,FI,Name379,Electric boiler,0,20,FI,0,0,15.85908754
Electric boiler34FI,FI,Name380,Electric boiler,0,50,FI,0,0,14.0987148
Electric boiler35FI,FI,Name381,Electric boiler,0,40,FI,0,0,15.64102166
