ID,country,name,capacity_el,storage_capacity,zone_el,charge_bid_price,discharge_bid_price
S514DE,DE,New BESSDE514,604.1810899,978.7733657,DELU,79.68174662,114.0408081
S515DE,DE,New BESSDE515,604.1810899,978.7733657,DELU,85.36734736,119.7264088
S516DE,DE,New BESSDE516,604.1810899,978.7733657,DELU,78.19360478,112.5526662
S517DE,DE,New BESSDE517,604.1810899,978.7733657,DELU,86.77558891,121.1346503
S518DE,DE,New BESSDE518,604.1810899,978.7733657,DELU,86.200275,120.5593364
S519DE,DE,New BESSDE519,604.1810899,978.7733657,DELU,77.46034491,111.8194063
S520DE,DE,New BESSDE520,604.1810899,978.7733657,DELU,88.64147619,123.0005376
S521DE,DE,New BESSDE521,604.1810899,978.7733657,DELU,75.30694899,109.6660104
S522DE,DE,New BESSDE522,604.1810899,978.7733657,DELU,59.79032268,94.14938412
S523DE,DE,New BESSDE523,604.1810899,978.7733657,DELU,68.19432731,102.5533887
S524DE,DE,New BESSDE524,604.1810899,978.7733657,DELU,88.25021234,122.6092738
S525DE,DE,New BESSDE525,604.1810899,978.7733657,DELU,73.65497484,108.0140363
S526DE,DE,New BESSDE526,604.1810899,978.7733657,DELU,72.62250364,106.9815651
S527DE,DE,New BESSDE527,604.1810899,978.7733657,DELU,82.06740241,116.4264638
S528DE,DE,New BESSDE528,604.1810899,978.7733657,DELU,73.28072929,107.6397907
S529DE,DE,New BESSDE529,604.1810899,978.7733657,DELU,76.41353227,110.7725937
S530DE,DE,New BESSDE530,604.1810899,978.7733657,DELU,86.16847802,120.5275395
S531DE,DE,New BESSDE531,604.1810899,978.7733657,DELU,63.42882749,97.78788893
S532DE,DE,New BESSDE532,604.1810899,978.7733657,DELU,75.38199936,109.7410608
S533DE,DE,New BESSDE533,604.1810899,978.7733657,DELU,64.71740783,99.07646927
S534DE,DE,New BESSDE534,604.1810899,978.7733657,DELU,85.85516325,120.2142247
S535DE,DE,New BESSDE535,604.1810899,978.7733657,DELU,73.36410085,107.7231623
S536DE,DE,New BESSDE536,604.1810899,978.7733657,DELU,67.5651778,101.9242392
S537DE,DE,New BESSDE537,604.1810899,978.7733657,DELU,75.17436206,109.5334235
S538DE,DE,New BESSDE538,604.1810899,978.7733657,DELU,68.00390966,102.3629711
S539DE,DE,New BESSDE539,604.1810899,978.7733657,DELU,84.56049768,118.9195591
S540DE,DE,New BESSDE540,604.1810899,978.7733657,DELU,70.16397311,104.5230345
